bloc,party,issue_name,matched_rows,issue_weight_sum,unique_speakers,emphasis_within,source
더불어민주당,"민주당, 새천년 민주당",endorsement_event,2,0.7,1,0.03131991051454138,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",jobs_labor,2,0.7,1,0.03131991051454138,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",external_shock,1,0.35,1,0.01565995525727069,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",gaffe_event,1,0.35,1,0.01565995525727069,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",gender_generation,1,0.35,1,0.01565995525727069,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,economy_growth,10,6.5,3,0.14772727272727273,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,external_shock,6,5.75,3,0.13068181818181818,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,jobs_labor,8,4.1,3,0.09318181818181817,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,welfare_pension,7,3.75,3,0.08522727272727272,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,security_nk,8,3.4499999999999997,3,0.0784090909090909,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,education,6,3.4,3,0.07727272727272727,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,regional_dev,8,3.1999999999999997,3,0.07272727272727272,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,inflation_livelihood,4,2.7,3,0.06136363636363637,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,corruption_integrity,3,2.1,3,0.04772727272727273,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,candidate_competence,2,1.75,2,0.03977272727272727,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,family_legal_risk,4,1.4,2,0.031818181818181815,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,housing,2,1.35,2,0.030681818181818185,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,regime_change,2,1.35,2,0.030681818181818185,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,endorsement_event,3,1.0499999999999998,2,0.02386363636363636,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,gender_generation,3,1.0499999999999998,2,0.02386363636363636,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,foreign_policy,1,0.75,1,0.017045454545454544,15th_assembly_issue_phrase_extraction
더불어민주당,새정치 국민회의,unification_event,1,0.35,1,0.007954545454545454,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,corruption_integrity,138,89.75,29,0.1258677512095926,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,economy_growth,142,81.8,32,0.11471846294088774,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,external_shock,77,60.35,25,0.08463642100834444,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,welfare_pension,118,60.05,27,0.08421569314914802,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,regional_dev,129,54.55,29,0.07650234906388051,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,security_nk,119,54.55,30,0.07650234906388051,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,jobs_labor,107,50.4,31,0.07068228034499685,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,education,90,43.25,27,0.06065493303414908,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,inflation_livelihood,60,37.15,24,0.052100133230488746,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,candidate_competence,68,35.65,26,0.0499964939345067,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,regime_change,43,33.8,23,0.04740200546946217,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,endorsement_event,69,29.65,28,0.0415819367505785,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,family_legal_risk,76,28.849999999999998,28,0.04045999579272141,15th_assembly_issue_phrase_extraction
